iso3_country,location,sector,year,total_emission
ARG,Entre Ríos,transportation,2021,136.02586469847074
ARG,Entre Ríos,power,2021,53.71902570207711
ARG,Entre Ríos,agriculture,2022,88349.79908624344
ARG,Entre Ríos,waste,2022,14267.521694403227
ARG,Entre Ríos,land-use-change,2022,5422.097996997
ARG,Entre Ríos,fossil-fuel-operations,2022,3302.52947235894
ARG,Entre Ríos,manufacturing,2022,390.0437123659784
ARG,Entre Ríos,other-energy-use,2022,291.77670084664584
ARG,Entre Ríos,transportation,2022,143.62133513981658
ARG,Entre Ríos,power,2022,54.85436462637565
ARG,Entre Ríos,agriculture,2023,87430.39367441012
ARG,Entre Ríos,waste,2023,14469.558393656895
ARG,Entre Ríos,land-use-change,2023,7415.698588
ARG,Entre Ríos,fossil-fuel-operations,2023,1973.1216244457642
ARG,Entre Ríos,manufacturing,2023,390.0437123659783
ARG,Entre Ríos,other-energy-use,2023,290.1772131832966
ARG,Entre Ríos,transportation,2023,124.55408339971416
ARG,Entre Ríos,power,2023,54.854364626375656
ARG,Entre Ríos,agriculture,2024,87430.3936744101
ARG,Entre Ríos,waste,2024,14678.388651199644
ARG,Entre Ríos,land-use-change,2024,7377.8127621
ARG,Entre Ríos,fossil-fuel-operations,2024,1973.121624486446
ARG,Entre Ríos,manufacturing,2024,390.04371236597837
ARG,Entre Ríos,other-energy-use,2024,289.3025148278122
ARG,Entre Ríos,transportation,2024,182.65851916922068
ARG,Entre Ríos,power,2024,54.85436462637568
ARG,Formosa,agriculture,2021,66090.2304774041
ARG,Formosa,waste,2021,1868.6562947363168
ARG,Formosa,fossil-fuel-operations,2021,1405.49134712997
ARG,Formosa,other-energy-use,2021,188.088541804239
ARG,Formosa,manufacturing,2021,150.4772358049818
ARG,Formosa,transportation,2021,39.79788041232159
ARG,Formosa,power,2021,20.60930998230924
ARG,Formosa,agriculture,2022,66611.89564470883
ARG,Formosa,waste,2022,1884.430417097613
ARG,Formosa,fossil-fuel-operations,2022,1267.015786902588
ARG,Formosa,other-energy-use,2022,187.83438693248775
ARG,Formosa,manufacturing,2022,149.640312156486
ARG,Formosa,transportation,2022,40.86243946661862
ARG,Formosa,power,2022,21.04488288260004
ARG,Formosa,agriculture,2023,65650.34769721294
ARG,Formosa,waste,2023,1901.9953634923188
ARG,Formosa,fossil-fuel-operations,2023,756.9883232157716
ARG,Formosa,other-energy-use,2023,188.04723688813746
ARG,Formosa,manufacturing,2023,149.640312156486
ARG,Formosa,transportation,2023,44.3519732049742
ARG,Formosa,power,2023,21.04488288260005
ARG,Formosa,agriculture,2024,65650.34769721294
ARG,Formosa,waste,2024,1921.507983473813
ARG,Formosa,fossil-fuel-operations,2024,756.9883232313806
ARG,Formosa,other-energy-use,2024,187.7116587700761
ARG,Formosa,manufacturing,2024,149.640312156486
ARG,Formosa,transportation,2024,66.17248843155701
ARG,Formosa,power,2024,21.04488288260005
ARG,Jujuy,agriculture,2021,32351.05001271784
ARG,Jujuy,waste,2021,15519.841483267004
ARG,Jujuy,fossil-fuel-operations,2021,891.7868896687447
ARG,Jujuy,other-energy-use,2021,135.5301641676001
ARG,Jujuy,manufacturing,2021,95.47808768691459
ARG,Jujuy,transportation,2021,34.41092133063155
ARG,Jujuy,power,2021,13.076645747320269
ARG,Jujuy,agriculture,2022,32727.1550954855
ARG,Jujuy,waste,2022,15537.697649063988
ARG,Jujuy,fossil-fuel-operations,2022,803.923887593006
ARG,Jujuy,other-energy-use,2022,136.73236183902523
ARG,Jujuy,manufacturing,2022,94.9470580659167
ARG,Jujuy,transportation,2022,35.053076658813616
ARG,Jujuy,power,2022,13.3530175675862
ARG,Jujuy,agriculture,2023,32055.65303495296
ARG,Jujuy,waste,2023,15776.530109352967
ARG,Jujuy,fossil-fuel-operations,2023,480.3105075350747
ARG,Jujuy,other-energy-use,2023,136.78972544483176
ARG,Jujuy,manufacturing,2023,94.94705806591669
ARG,Jujuy,transportation,2023,36.2981697104834
ARG,Jujuy,power,2023,13.35301756758621
ARG,Jujuy,agriculture,2024,32055.65303495295
ARG,Jujuy,waste,2024,16021.150314985132
ARG,Jujuy,fossil-fuel-operations,2024,480.3105075449785
ARG,Jujuy,other-energy-use,2024,136.57680050099776
ARG,Jujuy,manufacturing,2024,94.94705806591672
ARG,Jujuy,transportation,2024,53.593739218957666
ARG,Jujuy,power,2024,13.35301756758621
ARG,La Pampa,agriculture,2021,140538.23585190714
ARG,La Pampa,waste,2021,13279.503299934971
ARG,La Pampa,land-use-change,2021,2625.09002245
ARG,La Pampa,fossil-fuel-operations,2021,1120.11316615145
ARG,La Pampa,manufacturing,2021,166.40464290461048
ARG,La Pampa,other-energy-use,2021,78.68250465956835
ARG,La Pampa,transportation,2021,52.140744717016574
ARG,La Pampa,power,2021,16.42468984502853
ARG,La Pampa,agriculture,2022,140877.54417487443
ARG,La Pampa,waste,2022,13287.794584146672
ARG,La Pampa,land-use-change,2022,2530.42967005
ARG,La Pampa,fossil-fuel-operations,2022,1009.7543948095839
ARG,La Pampa,manufacturing,2022,165.41229515469436
ARG,La Pampa,other-energy-use,2022,78.9180821149748
ARG,La Pampa,transportation,2022,54.32410848301449
ARG,La Pampa,power,2022,16.77182178677316
ARG,La Pampa,agriculture,2023,139119.6756300382
ARG,La Pampa,waste,2023,13496.101990384912
ARG,La Pampa,land-use-change,2023,4724.0408525
ARG,La Pampa,fossil-fuel-operations,2023,603.2855265799699
ARG,La Pampa,manufacturing,2023,165.41229515469436
ARG,La Pampa,other-energy-use,2023,78.3522979260947
ARG,La Pampa,transportation,2023,55.18047602786976
ARG,La Pampa,power,2023,16.77182178677316
ARG,La Pampa,agriculture,2024,139119.6756300382
ARG,La Pampa,waste,2024,13708.694691712597
ARG,La Pampa,land-use-change,2024,5061.853671
ARG,La Pampa,fossil-fuel-operations,2024,603.2855265924096
ARG,La Pampa,manufacturing,2024,165.41229515469433
ARG,La Pampa,transportation,2024,83.78074346666452
ARG,La Pampa,other-energy-use,2024,78.08485731247553
ARG,La Pampa,power,2024,16.77182178677316
ARG,La Rioja,agriculture,2021,34568.26045466375
ARG,La Rioja,waste,2021,1118.2202225797937
ARG,La Rioja,fossil-fuel-operations,2021,984.8914614484396
ARG,La Rioja,manufacturing,2021,151.9272941922922
ARG,La Rioja,other-energy-use,2021,86.02261702300437
ARG,La Rioja,transportation,2021,34.26725838078859
ARG,La Rioja,land-use-change,2021,17.644964328
ARG,La Rioja,power,2021,14.44187719075542
ARG,La Rioja,agriculture,2022,35210.03903475545
ARG,La Rioja,waste,2022,1127.6590672671646
ARG,La Rioja,fossil-fuel-operations,2022,887.8553628870831
ARG,La Rioja,manufacturing,2022,151.0154664987158
ARG,La Rioja,other-energy-use,2022,86.42660257377
ARG,La Rioja,land-use-change,2022,75.037453
ARG,La Rioja,transportation,2022,34.65202085709472
ARG,La Rioja,power,2022,14.747102855225581
ARG,La Rioja,agriculture,2023,34044.9064253035
ARG,La Rioja,waste,2023,1138.1692394356264
ARG,La Rioja,fossil-fuel-operations,2023,530.4560127487156
ARG,La Rioja,manufacturing,2023,151.01546649871577
ARG,La Rioja,other-energy-use,2023,86.24218945242906
ARG,La Rioja,transportation,2023,38.44877449948719
ARG,La Rioja,power,2023,14.747102855225581
ARG,La Rioja,land-use-change,2023,0.422480185
ARG,La Rioja,agriculture,2024,34044.9064253035
ARG,La Rioja,waste,2024,1149.8449195416167
ARG,La Rioja,fossil-fuel-operations,2024,530.4560127596536
ARG,La Rioja,manufacturing,2024,151.0154664987158
ARG,La Rioja,other-energy-use,2024,86.00703466204027
ARG,La Rioja,transportation,2024,58.47697946180023
ARG,La Rioja,power,2024,14.747102855225581
ARG,La Rioja,land-use-change,2024,9.531520985
ARG,Mendoza,agriculture,2021,129946.61843750028
ARG,Mendoza,fossil-fuel-operations,2021,14620.854019411263
ARG,Mendoza,waste,2021,11797.091535687468
ARG,Mendoza,land-use-change,2021,1305.919314996
ARG,Mendoza,manufacturing,2021,638.9321629570677
ARG,Mendoza,other-energy-use,2021,439.1920058844141
ARG,Mendoza,transportation,2021,95.78188571186779
ARG,Mendoza,power,2021,81.14189496802783
ARG,Mendoza,agriculture,2022,130983.69313750851
ARG,Mendoza,fossil-fuel-operations,2022,13459.327456561612
ARG,Mendoza,waste,2022,11843.36502396731
ARG,Mendoza,land-use-change,2022,1142.942914687
ARG,Mendoza,manufacturing,2022,635.3117136608856
ARG,Mendoza,other-energy-use,2022,440.55587906324274
ARG,Mendoza,transportation,2022,93.95555233364385
ARG,Mendoza,power,2022,82.85680975928742
ARG,Mendoza,agriculture,2023,129101.31386906207
ARG,Mendoza,waste,2023,11994.91427571978
ARG,Mendoza,fossil-fuel-operations,2023,10884.349307188852
ARG,Mendoza,land-use-change,2023,1169.421393462
ARG,Mendoza,manufacturing,2023,635.3117136608855
ARG,Mendoza,other-energy-use,2023,437.8018643643234
ARG,Mendoza,transportation,2023,100.13556868836821
ARG,Mendoza,power,2023,82.85680975928744
ARG,Mendoza,agriculture,2024,129101.31386906204
ARG,Mendoza,waste,2024,12153.816412124497
ARG,Mendoza,fossil-fuel-operations,2024,10884.349307250306
ARG,Mendoza,land-use-change,2024,1670.176731089
ARG,Mendoza,manufacturing,2024,635.3117136608855
ARG,Mendoza,other-energy-use,2024,436.4806437881528
ARG,Mendoza,transportation,2024,154.92474794598098
ARG,Mendoza,power,2024,82.85680975928744
ARG,Misiones,agriculture,2021,21403.243575739725
ARG,Misiones,waste,2021,12651.732626202505
ARG,Misiones,fossil-fuel-operations,2021,1454.40321625386
ARG,Misiones,land-use-change,2021,519.61765169
ARG,Misiones,other-energy-use,2021,475.58517533572007
ARG,Misiones,manufacturing,2021,202.91615169608045
ARG,Misiones,transportation,2021,88.69469851526478
ARG,Misiones,power,2021,21.32652526410147
ARG,Misiones,agriculture,2022,21576.701698740213
ARG,Misiones,waste,2022,12680.460531519539
ARG,Misiones,fossil-fuel-operations,2022,1311.108630642553
ARG,Misiones,land-use-change,2022,546.31229406
ARG,Misiones,other-energy-use,2022,476.3450699023696
ARG,Misiones,manufacturing,2022,201.58737919484722
ARG,Misiones,transportation,2022,91.42974222877382
ARG,Misiones,power,2022,21.77725634002704
ARG,Misiones,agriculture,2023,21214.108353648106
ARG,Misiones,waste,2023,12807.064098603598
ARG,Misiones,fossil-fuel-operations,2023,783.3319317118667
ARG,Misiones,land-use-change,2023,529.0550136100001
ARG,Misiones,other-energy-use,2023,478.1502086944002
ARG,Misiones,manufacturing,2023,201.58737919484724
ARG,Misiones,transportation,2023,99.61550236316295
ARG,Misiones,power,2023,21.77725634002704
ARG,Misiones,agriculture,2024,21214.108353648102
ARG,Misiones,waste,2024,12939.333946979543
ARG,Misiones,fossil-fuel-operations,2024,783.3319317280193
ARG,Misiones,land-use-change,2024,557.70085642
ARG,Misiones,other-energy-use,2024,477.80295227392526
ARG,Misiones,manufacturing,2024,201.58737919484722
ARG,Misiones,transportation,2024,151.5132373702143
ARG,Misiones,power,2024,21.77725634002704
ARG,Neuquén,fossil-fuel-operations,2021,347905.7547907389
ARG,Neuquén,agriculture,2021,80783.00555006266
ARG,Neuquén,land-use-change,2021,10994.985089223
ARG,Neuquén,waste,2021,2333.1624442354096
ARG,Neuquén,manufacturing,2021,597.4144837225126
ARG,Neuquén,other-energy-use,2021,200.00887566352563
ARG,Neuquén,power,2021,81.82168031658435
ARG,Neuquén,transportation,2021,57.968519042266955
ARG,Neuquén,fossil-fuel-operations,2022,417856.7309507411
ARG,Neuquén,agriculture,2022,81435.4699727847
ARG,Neuquén,land-use-change,2022,7806.8130823
ARG,Neuquén,waste,2022,2356.5182803316106
ARG,Neuquén,manufacturing,2022,594.0917863941986
ARG,Neuquén,other-energy-use,2022,200.75639199907107
ARG,Neuquén,power,2022,83.5509622106776
ARG,Neuquén,transportation,2022,53.25700337734165
ARG,Neuquén,fossil-fuel-operations,2023,456441.8766481341
ARG,Neuquén,agriculture,2023,80253.5913599443
ARG,Neuquén,land-use-change,2023,10797.9859056
ARG,Neuquén,waste,2023,2380.9936942481813
ARG,Neuquén,manufacturing,2023,594.0917863941986
ARG,Neuquén,other-energy-use,2023,196.35934190519848
ARG,Neuquén,power,2023,83.5509622106776
ARG,Neuquén,transportation,2023,54.79768751920808
ARG,Neuquén,fossil-fuel-operations,2024,456441.876648196
ARG,Neuquén,agriculture,2024,80253.59135994432
ARG,Neuquén,land-use-change,2024,11588.40564617
ARG,Neuquén,waste,2024,2407.533135183933
ARG,Neuquén,manufacturing,2024,594.0917863941988
ARG,Neuquén,other-energy-use,2024,195.02705249226673
ARG,Neuquén,power,2024,83.5509622106776
ARG,Neuquén,transportation,2024,78.39312772168068
ARG,Río Negro,agriculture,2021,387876.6929840252
ARG,Río Negro,fossil-fuel-operations,2021,170040.04990440395
ARG,Río Negro,waste,2021,22181.607939365098
ARG,Río Negro,land-use-change,2021,13923.32366238
ARG,Río Negro,manufacturing,2021,336.70546280184726
ARG,Río Negro,other-energy-use,2021,173.7127850519251
ARG,Río Negro,transportation,2021,78.12421328829798
ARG,Río Negro,power,2021,39.74903102346594
ARG,Río Negro,agriculture,2022,389285.6566264706
ARG,Río Negro,fossil-fuel-operations,2022,160076.90207009704
ARG,Río Negro,waste,2022,22199.290991352398
ARG,Río Negro,land-use-change,2022,12855.202516493
ARG,Río Negro,manufacturing,2022,334.7659366779551
ARG,Río Negro,other-energy-use,2022,176.03448256036546
ARG,Río Negro,transportation,2022,77.04925488048441
ARG,Río Negro,power,2022,40.58911740876957
ARG,Río Negro,agriculture,2023,386704.5285912001
ARG,Río Negro,fossil-fuel-operations,2023,153655.29415356703
ARG,Río Negro,waste,2023,22543.075395121596
ARG,Río Negro,land-use-change,2023,14767.45738682
ARG,Río Negro,manufacturing,2023,334.7659366779551
ARG,Río Negro,other-energy-use,2023,174.83946971071703
ARG,Río Negro,transportation,2023,85.47458480283713
ARG,Río Negro,power,2023,40.58911740876959
ARG,Río Negro,agriculture,2024,386704.52859120007
ARG,Río Negro,fossil-fuel-operations,2024,153655.29415359712
ARG,Río Negro,waste,2024,22894.353753538642
ARG,Río Negro,land-use-change,2024,15456.41944139
ARG,Río Negro,manufacturing,2024,334.7659366779551
ARG,Río Negro,other-energy-use,2024,174.19224255769407
ARG,Río Negro,transportation,2024,123.38606351175186
ARG,Río Negro,power,2024,40.58911740876959
ARG,Salta,agriculture,2021,67077.78182972057
ARG,Salta,waste,2021,10101.88722595015
ARG,Salta,fossil-fuel-operations,2021,2372.5619545278437
ARG,Salta,land-use-change,2021,1692.2308318999999
ARG,Salta,manufacturing,2021,390.55977295506597
ARG,Salta,other-energy-use,2021,256.3254244302774
ARG,Salta,transportation,2021,68.27849847655386
ARG,Salta,power,2021,34.39283407831114
ARG,Salta,agriculture,2022,68044.90330227421
ARG,Salta,waste,2022,10135.329714350468
ARG,Salta,fossil-fuel-operations,2022,2142.4466078691107
ARG,Salta,land-use-change,2022,1768.8464582000001
ARG,Salta,manufacturing,2022,388.1870419255375
ARG,Salta,other-energy-use,2022,257.1749442412153
ARG,Salta,transportation,2022,71.85813157443813
ARG,Salta,power,2022,35.11971850586209
ARG,Salta,agriculture,2023,66065.48473618053
ARG,Salta,waste,2023,10161.415034700536
ARG,Salta,fossil-fuel-operations,2023,1293.0328743141226
ARG,Salta,land-use-change,2023,1286.13598113
ARG,Salta,manufacturing,2023,388.1870419255375
ARG,Salta,other-energy-use,2023,256.3175231277049
ARG,Salta,transportation,2023,76.80363035551686
ARG,Salta,power,2023,35.119718505862096
ARG,Salta,agriculture,2024,66065.48473618053
ARG,Salta,waste,2024,10191.494311260903
ARG,Salta,land-use-change,2024,1596.29402988
ARG,Salta,fossil-fuel-operations,2024,1293.0328743401656
ARG,Salta,manufacturing,2024,388.1870419255375
ARG,Salta,other-energy-use,2024,255.75751007803441
ARG,Salta,transportation,2024,113.56854080120931
ARG,Salta,power,2024,35.119718505862096
ARG,San Juan,agriculture,2021,42687.42361322281
